id,ASSIGN,BEGIN,COMMA,CONST,DIV,DO,END,EQUAL,GE,GT,ID,IF,LE,LPAREN,LT,MINUS,NEQ,NUM,PLUS,PROGRAM,RPAREN,SEMI,TERMINAL,THEN,TIMES,VAR,WHILE,AssignmentStatement,CompoundStatement,Condition,ConditionStatement,ConstantDeclaration,ConstantDefinition,EmptyStatement,Expression,Factor,Identifier,LastStatement,LoopStatement,M,NextConstantDefinition,NextID,Program,Program`,RelationalOperator,Statement,SubProgram,Term,VariableDeclaration,
0,,,,,,,,,,,,,,,,,,,,s1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
1,,,,,,,,,,,s3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,acc,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,s5,,s6,,,,,,,s11,s12,,,,,,,,,,,r43,,,s17,s19,4,7,,8,9,,10,,,13,,14,,,,,,,15,16,,18,
4,,,,,,,,,,,,,,,,,,,,,,,r16,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,s21,,,,,r43,,,,s11,s25,,,,,,,,,,r43,,,,,s30,20,22,,23,,,24,,,26,27,28,,,,,,,29,,,,
6,,,,,,,,,,,s32,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,r19,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,r17,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,s5,,,,,,,,,s11,s12,,,,,,,,,,,r43,,,s17,s19,4,7,,8,,,10,,,13,,14,,,,,,,33,,,34,
10,,,,,,,,,,,,,,,,,,,,,,,r20,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,r44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,s38,,,s40,,s41,,s42,s43,,,,,,,,,,,35,,,,,36,37,39,,,,,,,,,,,44,,
13,s45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,r18,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,r5,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,r1,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,s46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,s5,,,,,,,,,s11,s12,,,,,,,,,,,r43,,,,s19,4,7,,8,,,10,,,13,,14,,,,,,,47,,,,
19,,,,,,,,,,,r34,,,r34,,r34,,r34,r34,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,
20,,,,,,,r16,,,,,,,,,,,,,,,r16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,s21,,,,,r43,,,,s11,s25,,,,,,,,,,r43,,,,,s30,20,22,,23,,,24,,,26,49,28,,,,,,,29,,,,
22,,,,,,,r19,,,,,,,,,,,,,,,r19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,r17,,,,,,,,,,,,,,,r17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,r20,,,,,,,,,,,,,,,r20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,s38,,,s40,,s41,,s42,s43,,,,,,,,,,,50,,,,,36,37,39,,,,,,,,,,,44,,
26,s51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,s52,,,,,,,,,,,,,,,s53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,r18,,,,,,,,,,,,,,,r18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,r15,,,,,,,,,,,,,,,r15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,r34,,,r34,,r34,,r34,r34,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,
31,,,s55,,,,,,,,,,,,,,,,,,,s57,,,,,,,,,,,,,,,,,,,56,,,,,,,,,
32,s58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,r3,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,s5,,,,,,,,,s11,s12,,,,,,,,,,,r43,,,,s19,4,7,,8,,,10,,,13,,14,,,,,,,59,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,s60,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,s61,s62,s63,,,s64,,s65,s66,s67,,s68,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,,,
37,,,,,r27,,,r27,r27,r27,,,r27,,r27,r27,r27,,r27,,,,,,r27,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,r44,,,r44,r44,r44,,,r44,,r44,r44,r44,,r44,,,,,,r44,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,r30,,,r30,r30,r30,,,r30,,r30,r30,r30,,r30,,,,,,r30,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,s72,,,s74,,s75,,s76,s77,,,,,,,,,,,,,,,,70,71,73,,,,,,,,,,,78,,
41,,,,,,,,,,,s80,,,s82,,,,s83,,,,,,,,,,,,,,,,,,79,81,,,,,,,,,,,84,,
42,,,,,r31,,,r31,r31,r31,,,r31,,r31,r31,r31,,r31,,,,,,r31,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,s80,,,s82,,,,s83,,,,,,,,,,,,,,,,,,79,81,,,,,,,,,,,85,,
44,,,,,s86,,,r24,r24,r24,,,r24,,r24,r24,r24,,r24,,,,,,s87,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,s90,,,s92,,s93,,s94,s95,,,,,,,,,,,,,,,,88,89,91,,,,,,,,,,,96,,
46,,,s97,,,,,,,,,,,,,,,,,,,s99,,,,,,,,,,,,,,,,,,,,98,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,r4,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,s38,,,s40,,s41,,s42,s43,,,,,,,,,,,100,,,,,101,37,39,,,,,,,,,,,44,,
49,,,,,,,s102,,,,,,,,,,,,,,,s53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,s103,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,s106,,,s108,,s109,,s110,s111,,,,,,,,,,,,,,,,104,105,107,,,,,,,,,,,112,,
52,,,,,,,,,,,,,,,,,,,,,,,r13,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,r34,,,,,r34,,,,r34,r34,,,,,,,,,,r34,,,,,r34,,,,,,,,,,,,,113,,,,,,,,,,
54,,,,,,,,,,,s38,,,s40,,s41,,s42,s43,,,,,,,,,,,114,,,,,101,37,39,,,,,,,,,,,44,,
55,,,,,,,,,,,s32,,,,,,,,,,,,,,,,,,,,,,115,,,,,,,,,,,,,,,,,
56,,r6,,,,,,,,,r6,r6,,,,,,,,,,,r6,,,r6,r6,,,,,,,,,,,,,,,,,,,,,,,
57,,r8,,,,,,,,,r8,r8,,,,,,,,,,,r8,,,r8,r8,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,s116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,r2,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,r34,,,,,,,,,r34,r34,,,,,,,,,,,r34,,,,r34,,,,,,,,,,,,,117,,,,,,,,,,
61,,,,,,,,,,,r37,,,r37,,r37,,r37,r37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,r42,,,r42,,r42,,r42,r42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,r41,,,r41,,r41,,r41,r41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,r40,,,r40,,r40,,r40,r40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,r39,,,r39,,r39,,r39,r39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,s80,,,s82,,,,s83,,,,,,,,,,,,,,,,,,79,81,,,,,,,,,,,118,,
67,,,,,,,,,,,r38,,,r38,,r38,,r38,r38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,s80,,,s82,,,,s83,,,,,,,,,,,,,,,,,,79,81,,,,,,,,,,,119,,
69,,,,,,,,,,,s122,,,s124,,s125,,s126,s127,,,,,,,,,,,,,,,,120,121,123,,,,,,,,,,,128,,
70,,,,,,,,,,,,,,,,s129,,,s130,,s131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,r27,,,,,,,,,,,r27,,,r27,,r27,,,,r27,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,r44,,,,,,,,,,,r44,,,r44,,r44,,,,r44,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,r30,,,,,,,,,,,r30,,,r30,,r30,,,,r30,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,s72,,,s74,,s75,,s76,s77,,,,,,,,,,,,,,,,132,71,73,,,,,,,,,,,78,,
75,,,,,,,,,,,s134,,,s136,,,,s137,,,,,,,,,,,,,,,,,,133,135,,,,,,,,,,,138,,
76,,,,,r31,,,,,,,,,,,r31,,,r31,,r31,,,,r31,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,s134,,,s136,,,,s137,,,,,,,,,,,,,,,,,,133,135,,,,,,,,,,,139,,
78,,,,,s140,,,,,,,,,,,r24,,,r24,,r24,,,,s141,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,r27,,,r27,r27,r27,,,r27,,r27,r27,r27,,r27,,,,,,r27,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,r44,,,r44,r44,r44,,,r44,,r44,r44,r44,,r44,,,,,,r44,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,r30,,,r30,r30,r30,,,r30,,r30,r30,r30,,r30,,,,,,r30,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,s72,,,s74,,s75,,s76,s77,,,,,,,,,,,,,,,,142,71,73,,,,,,,,,,,78,,
83,,,,,r31,,,r31,r31,r31,,,r31,,r31,r31,r31,,r31,,,,,,r31,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,,s143,,,r23,r23,r23,,,r23,,r23,r23,r23,,r23,,,,,,s144,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,s143,,,r22,r22,r22,,,r22,,r22,r22,r22,,r22,,,,,,s144,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,s38,,,s40,,,,s42,,,,,,,,,,,,,,,,,,145,39,,,,,,,,,,,,,
87,,,,,,,,,,,s38,,,s40,,,,s42,,,,,,,,,,,,,,,,,,146,39,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,s147,,,s148,,,,r21,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,r27,,,,,,,,,,,r27,,,r27,,,,r27,,r27,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,r44,,,,,,,,,,,r44,,,r44,,,,r44,,r44,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,r30,,,,,,,,,,,r30,,,r30,,,,r30,,r30,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,s72,,,s74,,s75,,s76,s77,,,,,,,,,,,,,,,,149,71,73,,,,,,,,,,,78,,
93,,,,,,,,,,,s151,,,s153,,,,s154,,,,,,,,,,,,,,,,,,150,152,,,,,,,,,,,155,,
94,,,,,r31,,,,,,,,,,,r31,,,r31,,,,r31,,r31,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,s151,,,s153,,,,s154,,,,,,,,,,,,,,,,,,150,152,,,,,,,,,,,156,,
96,,,,,s157,,,,,,,,,,,r24,,,r24,,,,r24,,s158,,,,,,,,,,,,,,,,,,,,,,,,,
